"Species","SampleName","Reads"
"Balaenoptera physalus","DL.52193.1621.d1.2",0
"Balaenoptera physalus","DL.52193.1633.d1.2",0
"Balaenoptera physalus","DL.52193.1647.d1.2",0
"Balaenoptera physalus","DL.52193.1653.d1.2",0
"Balaenoptera physalus","DL.52193.1662.d5.2",0
"Balaenoptera physalus","DL.52193.1664.d1.2",0
"Balaenoptera physalus","DL.52193.1690.d1.2",0
"Balaenoptera physalus","DL.52193.1704.d1.2",0
"Balaenoptera physalus","DL.52193.1716.d1.2",0
"Balaenoptera physalus","DL.52193.1721.d1.2",0
"Balaenoptera physalus","DL.52193.1733.d1.2",0
"Balaenoptera physalus","DL.52193.1755.d1.2",0
"Balaenoptera physalus","DL.52193.1757.d1.2",0
"Balaenoptera physalus","DL.52193.1767.d1.2",0
"Balaenoptera physalus","DL.52193.1769.d1.2",0
"Balaenoptera physalus","DL.52193.1779.d1.2",0
"Balaenoptera physalus","DL.52193.1782.d1.2",0
"Balaenoptera physalus","DL.52193.1792.d1.2",0
"Balaenoptera physalus","DL.52193.1794.d1.2",0
"Balaenoptera physalus","DL.52193.1804.d1.2",0
"Balaenoptera physalus","DL.52193.1806.d1.2",0
"Balaenoptera physalus","DL.52193.1816.d1.2",0
"Balaenoptera physalus","DL.52193.1834.d1.2",0
"Balaenoptera physalus","DL.52193.1840.d1.2",0
"Balaenoptera physalus","DL.52193.1843.d1.2",0
"Balaenoptera physalus","DL.52193.1843.d5.2",0
"Balaenoptera physalus","DL.52193.1867.d1.2",0
"Balaenoptera physalus","DL.52193.1867.d5.2",0
"Balaenoptera physalus","DL.52193.1879.d1.2",0
"Balaenoptera physalus","DL.52193.1879.d5.2",0
"Balaenoptera physalus","DL.52193.1887.d1.2",0
"Balaenoptera physalus","DL.52193.1892.d1.2",0
"Balaenoptera physalus","DL.52193.1898.d1.2",0
"Balaenoptera physalus","DL.52193.1904.d1.2",0
"Balaenoptera physalus","DL.positive.control.d1.2",0
"Balaenoptera physalus","DL.52193.1403.d5.3",0
"Balaenoptera physalus","DL.52193.1409.d1.3",0
"Balaenoptera physalus","DL.52193.1423.d1.3",0
"Balaenoptera physalus","DL.52193.1436.d1.3",0
"Balaenoptera physalus","DL.52193.1445.d1.3",0
"Balaenoptera physalus","DL.52193.1447.d5.3",0
"Balaenoptera physalus","DL.52193.1457.d5.3",0
"Balaenoptera physalus","DL.52193.1470.d1.3",0
"Balaenoptera physalus","DL.52193.1472.d5.3",0
"Balaenoptera physalus","DL.52193.1482.d1.3",0
"Balaenoptera physalus","DL.52193.1485.d5.3",0
"Balaenoptera physalus","DL.52193.1495.d1.3",0
"Balaenoptera physalus","DL.52193.1510.d5.3",0
"Balaenoptera physalus","DL.52193.1517.d1.3",0
"Balaenoptera physalus","DL.52193.1519.d5.3",0
"Balaenoptera physalus","DL.52193.1525.d1.3",0
"Balaenoptera physalus","DL.52193.1525.d1.4",0
"Balaenoptera physalus","DL.52193.1525.d1.5",0
"Balaenoptera physalus","DL.52193.1528.d5.3",0
"Balaenoptera physalus","DL.52193.1530.d1.3",0
"Balaenoptera physalus","DL.52193.1542.d1.3",0
"Balaenoptera physalus","DL.52193.1542.d5.3",0
"Balaenoptera physalus","DL.52193.1547.d1.3",0
"Balaenoptera physalus","DL.52193.1561.d5.3",0
"Balaenoptera physalus","DL.52193.1571.d1.3",0
"Balaenoptera physalus","DL.52193.1583.d1.3",0
"Balaenoptera physalus","DL.52193.1585.d1.3",0
"Balaenoptera physalus","DL.52193.1595.d1.3",0
"Balaenoptera physalus","DL.52193.1598.d1.3",69
"Balaenoptera physalus","DL.52193.1607.d1.3",0
"Balaenoptera physalus","DL.52193.1611.d1.3",0
"Balaenoptera physalus","DL.52193.1621.d1.3",0
"Balaenoptera physalus","DL.52193.1633.d1.3",0
"Balaenoptera physalus","DL.52193.1647.d1.3",0
"Balaenoptera physalus","DL.52193.1653.d1.3",0
"Balaenoptera physalus","DL.52193.1664.d1.3",0
"Balaenoptera physalus","DL.52193.1678.d1.3",0
"Balaenoptera physalus","DL.52193.1680.d1.3",0
"Balaenoptera physalus","DL.52193.1690.d1.3",0
"Balaenoptera physalus","DL.52193.1694.d1.3",0
"Balaenoptera physalus","DL.52193.1704.d1.3",0
"Balaenoptera physalus","DL.52193.1716.d1.3",0
"Balaenoptera physalus","DL.52193.1733.d1.3",0
"Balaenoptera physalus","DL.52193.1733.d1.4",0
"Balaenoptera physalus","DL.52193.1733.d1.5",0
"Balaenoptera physalus","DL.52193.1746.d1.3",0
"Balaenoptera physalus","DL.52193.1755.d1.3",0
"Balaenoptera physalus","DL.52193.1767.d1.3",0
"Balaenoptera physalus","DL.52193.1769.d1.3",0
"Balaenoptera physalus","DL.52193.1779.d1.3",0
"Balaenoptera physalus","DL.52193.1782.d1.3",0
"Balaenoptera physalus","DL.52193.1792.d1.3",0
"Balaenoptera physalus","DL.52193.1794.d1.3",0
"Balaenoptera physalus","DL.52193.1804.d1.3",0
"Balaenoptera physalus","DL.52193.1806.d1.3",0
"Balaenoptera physalus","DL.52193.1816.d1.3",0
"Balaenoptera physalus","DL.52193.1816.d1.4",0
"Balaenoptera physalus","DL.52193.1816.d1.5",0
"Balaenoptera physalus","DL.52193.1828.d5.3",0
"Balaenoptera physalus","DL.52193.1834.d1.3",0
"Balaenoptera physalus","DL.52193.1840.d1.3",0
"Balaenoptera physalus","DL.52193.1843.d1.3",0
"Balaenoptera physalus","DL.52193.1843.d5.3",0
"Balaenoptera physalus","DL.52193.1853.d1.3",0
"Balaenoptera physalus","DL.52193.1867.d1.3",0
"Balaenoptera physalus","DL.52193.1867.d5.3",0
"Balaenoptera physalus","DL.52193.1877.d1.3",0
"Balaenoptera physalus","DL.52193.1879.d1.3",0
"Balaenoptera physalus","DL.52193.1879.d5.3",0
"Balaenoptera physalus","DL.52193.1887.d1.3",0
"Balaenoptera physalus","DL.52193.1892.d1.3",0
"Balaenoptera physalus","DL.52193.1898.d1.3",0
"Balaenoptera physalus","DL.52193.1904.d1.3",0
"Balaenoptera physalus","DL.52193.1904.d1.4",0
"Balaenoptera physalus","DL.52193.1904.d1.5",0
"Balaenoptera physalus","DL.positive.control.d1.3",0
"Grampus griseus","DL.52193.1395.d5.1",0
"Grampus griseus","DL.52193.1403.d5.1",0
"Grampus griseus","DL.52193.1409.d1.1",0
"Grampus griseus","DL.52193.1423.d1.1",0
"Grampus griseus","DL.52193.1433.d1.1",0
"Grampus griseus","DL.52193.1436.d1.1",0
"Grampus griseus","DL.52193.1445.d1.1",0
"Grampus griseus","DL.52193.1447.d5.1",0
"Grampus griseus","DL.52193.1457.d5.1",0
"Grampus griseus","DL.52193.1460.d1.1",0
"Grampus griseus","DL.52193.1470.d1.1",476
"Grampus griseus","DL.52193.1472.d1.1",0
"Grampus griseus","DL.52193.1472.d5.1",0
"Grampus griseus","DL.52193.1482.d1.1",0
"Grampus griseus","DL.52193.1485.d5.1",0
"Grampus griseus","DL.52193.1495.d1.1",0
"Grampus griseus","DL.52193.1510.d5.1",0
"Grampus griseus","DL.52193.1517.d1.1",0
"Grampus griseus","DL.52193.1519.d5.1",0
"Grampus griseus","DL.52193.1525.d1.1",0
"Grampus griseus","DL.52193.1528.d5.1",0
"Grampus griseus","DL.52193.1530.d1.1",0
"Grampus griseus","DL.52193.1542.d1.1",0
"Grampus griseus","DL.52193.1542.d5.1",0
"Grampus griseus","DL.52193.1547.d1.1",0
"Grampus griseus","DL.52193.1561.d5.1",0
"Grampus griseus","DL.52193.1571.d1.1",0
"Grampus griseus","DL.52193.1583.d1.1",0
"Grampus griseus","DL.52193.1585.d1.1",0
"Grampus griseus","DL.52193.1595.d1.1",0
"Grampus griseus","DL.52193.1598.d1.1",0
"Grampus griseus","DL.52193.1607.d1.1",0
"Grampus griseus","DL.52193.1611.d1.1",0
"Grampus griseus","DL.52193.1621.d1.1",0
"Grampus griseus","DL.52193.1633.d1.1",0
"Grampus griseus","DL.52193.1647.d1.1",0
"Grampus griseus","DL.52193.1653.d1.1",0
"Grampus griseus","DL.52193.1662.d5.1",0
"Grampus griseus","DL.52193.1664.d1.1",0
"Grampus griseus","DL.52193.1678.d1.1",0
"Grampus griseus","DL.52193.1680.d1.1",0
"Grampus griseus","DL.52193.1690.d1.1",0
"Grampus griseus","DL.52193.1694.d1.1",0
"Grampus griseus","DL.52193.1704.d1.1",0
"Grampus griseus","DL.52193.1716.d1.1",0
"Grampus griseus","DL.52193.1721.d1.1",0
"Grampus griseus","DL.52193.1733.d1.1",0
"Grampus griseus","DL.52193.1746.d1.1",0
"Grampus griseus","DL.52193.1755.d1.1",0
"Grampus griseus","DL.52193.1757.d1.1",0
"Grampus griseus","DL.52193.1767.d1.1",0
"Grampus griseus","DL.52193.1769.d1.1",0
"Grampus griseus","DL.52193.1779.d1.1",0
"Grampus griseus","DL.52193.1782.d1.1",0
"Grampus griseus","DL.52193.1792.d1.1",0
"Grampus griseus","DL.52193.1794.d1.1",0
"Grampus griseus","DL.52193.1804.d1.1",0
"Grampus griseus","DL.52193.1806.d1.1",2024
"Grampus griseus","DL.52193.1816.d1.1",9323
"Grampus griseus","DL.52193.1828.d5.1",0
"Grampus griseus","DL.52193.1834.d1.1",0
"Grampus griseus","DL.52193.1840.d1.1",0
"Grampus griseus","DL.52193.1843.d1.1",0
"Grampus griseus","DL.52193.1843.d5.1",0
"Grampus griseus","DL.52193.1853.d1.1",0
"Grampus griseus","DL.52193.1867.d1.1",0
"Grampus griseus","DL.52193.1867.d5.1",0
"Grampus griseus","DL.52193.1877.d1.1",0
"Grampus griseus","DL.52193.1879.d5.1",0
"Grampus griseus","DL.52193.1887.d1.1",0
"Grampus griseus","DL.52193.1892.d1.1",0
"Grampus griseus","DL.52193.1898.d1.1",0
"Grampus griseus","DL.52193.1904.d1.1",0
"Grampus griseus","DL.positive.control.d1.1",0
"Grampus griseus","DL.52193.1403.d5.2",0
"Grampus griseus","DL.52193.1409.d1.2",0
"Grampus griseus","DL.52193.1423.d1.2",0
"Grampus griseus","DL.52193.1436.d1.2",0
"Grampus griseus","DL.52193.1445.d1.2",0
"Grampus griseus","DL.52193.1447.d5.2",0
"Grampus griseus","DL.52193.1457.d5.2",0
"Grampus griseus","DL.52193.1470.d1.2",0
"Grampus griseus","DL.52193.1472.d5.2",0
"Grampus griseus","DL.52193.1482.d1.2",0
"Grampus griseus","DL.52193.1485.d5.2",0
"Grampus griseus","DL.52193.1495.d1.2",0
"Grampus griseus","DL.52193.1517.d1.2",0
"Grampus griseus","DL.52193.1519.d5.2",0
"Grampus griseus","DL.52193.1525.d1.2",0
"Grampus griseus","DL.52193.1528.d5.2",0
"Grampus griseus","DL.52193.1542.d5.2",0
"Grampus griseus","DL.52193.1547.d1.2",0
"Grampus griseus","DL.52193.1561.d5.2",362
"Grampus griseus","DL.52193.1571.d1.2",0
"Grampus griseus","DL.52193.1583.d1.2",0
"Grampus griseus","DL.52193.1585.d1.2",0
"Grampus griseus","DL.52193.1595.d1.2",0
"Grampus griseus","DL.52193.1598.d1.2",0
"Grampus griseus","DL.52193.1607.d1.2",0
"Grampus griseus","DL.52193.1621.d1.2",0
"Grampus griseus","DL.52193.1633.d1.2",0
"Grampus griseus","DL.52193.1647.d1.2",0
"Grampus griseus","DL.52193.1653.d1.2",0
"Grampus griseus","DL.52193.1662.d5.2",0
"Grampus griseus","DL.52193.1664.d1.2",0
"Grampus griseus","DL.52193.1690.d1.2",0
"Grampus griseus","DL.52193.1704.d1.2",0
"Grampus griseus","DL.52193.1716.d1.2",0
"Grampus griseus","DL.52193.1721.d1.2",0
"Grampus griseus","DL.52193.1733.d1.2",0
"Grampus griseus","DL.52193.1755.d1.2",0
"Grampus griseus","DL.52193.1757.d1.2",0
"Grampus griseus","DL.52193.1767.d1.2",0
"Grampus griseus","DL.52193.1769.d1.2",0
"Grampus griseus","DL.52193.1779.d1.2",0
"Grampus griseus","DL.52193.1782.d1.2",0
"Grampus griseus","DL.52193.1792.d1.2",0
"Grampus griseus","DL.52193.1794.d1.2",0
"Grampus griseus","DL.52193.1804.d1.2",0
"Grampus griseus","DL.52193.1806.d1.2",0
"Grampus griseus","DL.52193.1816.d1.2",2727
"Grampus griseus","DL.52193.1834.d1.2",0
"Grampus griseus","DL.52193.1840.d1.2",0
"Grampus griseus","DL.52193.1843.d1.2",0
"Grampus griseus","DL.52193.1843.d5.2",0
"Grampus griseus","DL.52193.1867.d1.2",0
"Grampus griseus","DL.52193.1867.d5.2",0
"Grampus griseus","DL.52193.1879.d1.2",0
"Grampus griseus","DL.52193.1879.d5.2",0
"Grampus griseus","DL.52193.1887.d1.2",0
"Grampus griseus","DL.52193.1892.d1.2",0
"Grampus griseus","DL.52193.1898.d1.2",0
"Grampus griseus","DL.52193.1904.d1.2",0
"Grampus griseus","DL.positive.control.d1.2",0
"Grampus griseus","DL.52193.1403.d5.3",0
"Grampus griseus","DL.52193.1409.d1.3",0
"Grampus griseus","DL.52193.1423.d1.3",0
"Grampus griseus","DL.52193.1436.d1.3",0
"Grampus griseus","DL.52193.1445.d1.3",0
"Grampus griseus","DL.52193.1447.d5.3",0
"Grampus griseus","DL.52193.1457.d5.3",0
"Grampus griseus","DL.52193.1470.d1.3",0
"Grampus griseus","DL.52193.1472.d5.3",0
"Grampus griseus","DL.52193.1482.d1.3",0
"Grampus griseus","DL.52193.1485.d5.3",0
"Grampus griseus","DL.52193.1495.d1.3",0
"Grampus griseus","DL.52193.1510.d5.3",0
"Grampus griseus","DL.52193.1517.d1.3",0
"Grampus griseus","DL.52193.1519.d5.3",0
"Grampus griseus","DL.52193.1525.d1.3",0
"Grampus griseus","DL.52193.1525.d1.4",0
"Grampus griseus","DL.52193.1525.d1.5",0
"Grampus griseus","DL.52193.1528.d5.3",0
"Grampus griseus","DL.52193.1530.d1.3",0
"Grampus griseus","DL.52193.1542.d1.3",0
"Grampus griseus","DL.52193.1542.d5.3",0
"Grampus griseus","DL.52193.1547.d1.3",0
"Grampus griseus","DL.52193.1561.d5.3",0
"Grampus griseus","DL.52193.1571.d1.3",0
"Grampus griseus","DL.52193.1583.d1.3",0
"Grampus griseus","DL.52193.1585.d1.3",0
"Grampus griseus","DL.52193.1595.d1.3",0
"Grampus griseus","DL.52193.1598.d1.3",0
"Grampus griseus","DL.52193.1607.d1.3",0
"Grampus griseus","DL.52193.1611.d1.3",0
"Grampus griseus","DL.52193.1621.d1.3",0
"Grampus griseus","DL.52193.1633.d1.3",0
"Grampus griseus","DL.52193.1647.d1.3",0
"Grampus griseus","DL.52193.1653.d1.3",0
"Grampus griseus","DL.52193.1664.d1.3",0
"Grampus griseus","DL.52193.1678.d1.3",0
"Grampus griseus","DL.52193.1680.d1.3",0
"Grampus griseus","DL.52193.1690.d1.3",0
"Grampus griseus","DL.52193.1694.d1.3",0
"Grampus griseus","DL.52193.1704.d1.3",1434
"Grampus griseus","DL.52193.1716.d1.3",0
"Grampus griseus","DL.52193.1733.d1.3",0
"Grampus griseus","DL.52193.1733.d1.4",0
"Grampus griseus","DL.52193.1733.d1.5",0
"Grampus griseus","DL.52193.1746.d1.3",0
"Grampus griseus","DL.52193.1755.d1.3",0
"Grampus griseus","DL.52193.1767.d1.3",0
"Grampus griseus","DL.52193.1769.d1.3",0
"Grampus griseus","DL.52193.1779.d1.3",0
"Grampus griseus","DL.52193.1782.d1.3",939
"Grampus griseus","DL.52193.1792.d1.3",0
"Grampus griseus","DL.52193.1794.d1.3",0
"Grampus griseus","DL.52193.1804.d1.3",0
"Grampus griseus","DL.52193.1806.d1.3",1154
"Grampus griseus","DL.52193.1816.d1.3",4590
"Grampus griseus","DL.52193.1816.d1.4",2986
"Grampus griseus","DL.52193.1816.d1.5",2536
"Grampus griseus","DL.52193.1828.d5.3",0
"Grampus griseus","DL.52193.1834.d1.3",0
"Grampus griseus","DL.52193.1840.d1.3",0
"Grampus griseus","DL.52193.1843.d1.3",0
"Grampus griseus","DL.52193.1843.d5.3",0
"Grampus griseus","DL.52193.1853.d1.3",0
"Grampus griseus","DL.52193.1867.d1.3",0
"Grampus griseus","DL.52193.1867.d5.3",135
"Grampus griseus","DL.52193.1877.d1.3",0
"Grampus griseus","DL.52193.1879.d1.3",0
"Grampus griseus","DL.52193.1879.d5.3",0
"Grampus griseus","DL.52193.1887.d1.3",0
"Grampus griseus","DL.52193.1892.d1.3",0
"Grampus griseus","DL.52193.1898.d1.3",0
"Grampus griseus","DL.52193.1904.d1.3",0
"Grampus griseus","DL.52193.1904.d1.4",0
"Grampus griseus","DL.52193.1904.d1.5",0
"Grampus griseus","DL.positive.control.d1.3",0
"Lagenorhynchus obliquidens","DL.52193.1395.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1403.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1409.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1423.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1433.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1436.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1445.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1447.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1457.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1460.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1470.d1.1",525
"Lagenorhynchus obliquidens","DL.52193.1472.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1472.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1482.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1485.d5.1",10013
"Lagenorhynchus obliquidens","DL.52193.1495.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1510.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1517.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1519.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1525.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1528.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1530.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1542.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1542.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1547.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1561.d5.1",17899
"Lagenorhynchus obliquidens","DL.52193.1571.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1583.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1585.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1595.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1598.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1607.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1611.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1621.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1633.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1647.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1653.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1662.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1664.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1678.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1680.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1690.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1694.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1704.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1716.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1721.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1733.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1746.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1755.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1757.d1.1",154
"Lagenorhynchus obliquidens","DL.52193.1767.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1769.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1779.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1782.d1.1",10244
"Lagenorhynchus obliquidens","DL.52193.1792.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1794.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1804.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1806.d1.1",149
"Lagenorhynchus obliquidens","DL.52193.1816.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1828.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1834.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1840.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1843.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1843.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1853.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1867.d1.1",8396
"Lagenorhynchus obliquidens","DL.52193.1867.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1877.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1879.d5.1",0
"Lagenorhynchus obliquidens","DL.52193.1887.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1892.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1898.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1904.d1.1",0
"Lagenorhynchus obliquidens","DL.positive.control.d1.1",0
"Lagenorhynchus obliquidens","DL.52193.1403.d5.2",0
"Lagenorhynchus obliquidens","DL.52193.1409.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1423.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1436.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1445.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1447.d5.2",0
"Lagenorhynchus obliquidens","DL.52193.1457.d5.2",0
"Lagenorhynchus obliquidens","DL.52193.1470.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1472.d5.2",0
"Lagenorhynchus obliquidens","DL.52193.1482.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1485.d5.2",0
"Lagenorhynchus obliquidens","DL.52193.1495.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1517.d1.2",0
"Lagenorhynchus obliquidens","DL.52193.1519.d5.2",0
