Sample_name,Label,Hash,nReads
MFU-52193-1755-d10-1_S57,MFU,7e4db0a5bf029c8ecad35134a8f5e60afb7126be,8
MFU-52193-163-d10-1_S6,MFU,7d195aea93ad147f7cc4aeff9a7b6730d8d130c1,103
MFU-52193-163-d10-1_S6,MFU,c6b951ad418ce80c87089fbbfc6881ccd49fcbd6,498
MFU-52193-461-d10-1_S25,MFU,c776ba060fc37d569a0ec2534d3bb1cadb5a6e6d,63
MFU-52193-1755-d10-1_S57,MFU,c776ba060fc37d569a0ec2534d3bb1cadb5a6e6d,8
MFU-52193-1621-d10-1_S39,MFU,f981539e185924d7feebc8d4fc736292b202bfe0,59
MFU-52193-1115-d10-1_S88,MFU,6b800d6fcd8c7bdd66a8095c663d5b0d26f6e7b6,3
MFU-52193-163-d10-1_S6,MFU,004f36551a3d6ad26c7dc1a92b20c989b07fc81e,3
MFU-52193-1495-d10-1_S29,MFU,8cf99dd0f69658ae19ec90274657d0c33d72ca30,228
MFU-52193-1048-d10-1_S83,MFU,3cc2e564b20e8b6c346725e08c257782719dfd1b,47
MFU-51656-036-d1-1_S104,MFU,eb84a3eaf6185a448779c061b65a83f1abec4dbd,33
MFU-52193-1573-d10-1_S35,MFU,f0cd400718ccb4c92982c48a4eaa8a2e3e920490,106
MFU-52449-26-d1-1_S107,MFU,2bfc4ca1395cf139292b7ff37a04b28026a72240,9
MFU-52193-1853-d10-1_S63,MFU,3f419aa26998dca872108998907b583fbe34408c,29
MFU-52193-1482-d10-1_S27,MFU,78cd8c68ddf630269473f334f484b5d75711781f,13
MFU-52193-1853-d10-1_S63,MFU,47ca72d3f8b7aa63173197df9360c38d89729bbd,13
MFU-52193-408-d10-1_S75,MFU,ef38ae4bed83ed2753c3249bfa8f7d1b85a0c3b6,5
MFU-52193-1485-d10-1_S28,MFU,e3a55938ce93ab5a29523f6e61a4d0ceae830bd1,4
MFU-52193-1725-d10-1_S54,MFU,da7a720e79fddab89930ae2241c1284c55a0b51d,13
MFU-52193-56-d10-1_S67,MFU,1bf5993ff49ee4c56ebb7893c75b207261b2345c,158
MFU-52345-116-d1-1_S99,MFU,aadf4002ce87df70f0b9eb9e0e6e0dc120f36e3c,1299
MFU-52474-02-d1-1_S106,MFU,757caeaab9b0d017075123944efb30764b4ef726,171
